2019-04-16 16:50:16 5seconds_sync.py [line:115] WARNING system_capacity=4000, nServers=10, load_per_seconds=10, formula_factor=2.0
2019-04-16 16:50:17 5seconds_sync.py [line:150] CRITICAL start to make call[+++++++++++++++++++++++++++++++++++++++++++]
2019-04-16 16:50:21 5seconds_sync.py [line:239] WARNING [instance: 4]: 5 seconds, start sync
2019-04-16 16:50:21 5seconds_sync.py [line:239] WARNING [instance: 8]: 5 seconds, start sync
2019-04-16 16:50:21 5seconds_sync.py [line:239] WARNING [instance: 9]: 5 seconds, start sync
2019-04-16 16:50:21 5seconds_sync.py [line:239] WARNING [instance: 5]: 5 seconds, start sync
2019-04-16 16:50:21 5seconds_sync.py [line:239] WARNING [instance: 1]: 5 seconds, start sync
2019-04-16 16:50:21 5seconds_sync.py [line:239] WARNING [instance: 6]: 5 seconds, start sync
2019-04-16 16:50:21 5seconds_sync.py [line:239] WARNING [instance: 7]: 5 seconds, start sync
2019-04-16 16:50:21 5seconds_sync.py [line:239] WARNING [instance: 3]: 5 seconds, start sync
2019-04-16 16:50:21 5seconds_sync.py [line:239] WARNING [instance: 0]: 5 seconds, start sync
2019-04-16 16:50:21 5seconds_sync.py [line:239] WARNING [instance: 2]: 5 seconds, start sync
2019-04-16 16:50:21 5seconds_sync.py [line:182] CRITICAL sync done! reset sync timer[+++++++++++++++++++++++++++++++++++++++++++]
2019-04-16 16:50:26 5seconds_sync.py [line:239] WARNING [instance: 9]: 5 seconds, start sync
2019-04-16 16:50:26 5seconds_sync.py [line:239] WARNING [instance: 8]: 5 seconds, start sync
2019-04-16 16:50:26 5seconds_sync.py [line:239] WARNING [instance: 6]: 5 seconds, start sync
2019-04-16 16:50:26 5seconds_sync.py [line:239] WARNING [instance: 1]: 5 seconds, start sync
2019-04-16 16:50:26 5seconds_sync.py [line:239] WARNING [instance: 3]: 5 seconds, start sync
2019-04-16 16:50:26 5seconds_sync.py [line:239] WARNING [instance: 2]: 5 seconds, start sync
2019-04-16 16:50:26 5seconds_sync.py [line:239] WARNING [instance: 5]: 5 seconds, start sync
2019-04-16 16:50:26 5seconds_sync.py [line:239] WARNING [instance: 7]: 5 seconds, start sync
2019-04-16 16:50:26 5seconds_sync.py [line:239] WARNING [instance: 0]: 5 seconds, start sync
2019-04-16 16:50:26 5seconds_sync.py [line:239] WARNING [instance: 4]: 5 seconds, start sync
2019-04-16 16:50:26 5seconds_sync.py [line:182] CRITICAL sync done! reset sync timer[+++++++++++++++++++++++++++++++++++++++++++]
2019-04-16 16:50:31 5seconds_sync.py [line:239] WARNING [instance: 9]: 5 seconds, start sync
2019-04-16 16:50:31 5seconds_sync.py [line:239] WARNING [instance: 3]: 5 seconds, start sync
2019-04-16 16:50:31 5seconds_sync.py [line:239] WARNING [instance: 5]: 5 seconds, start sync
2019-04-16 16:50:31 5seconds_sync.py [line:239] WARNING [instance: 1]: 5 seconds, start sync
2019-04-16 16:50:31 5seconds_sync.py [line:239] WARNING [instance: 7]: 5 seconds, start sync
2019-04-16 16:50:31 5seconds_sync.py [line:239] WARNING [instance: 6]: 5 seconds, start sync
2019-04-16 16:50:31 5seconds_sync.py [line:239] WARNING [instance: 2]: 5 seconds, start sync
2019-04-16 16:50:31 5seconds_sync.py [line:239] WARNING [instance: 8]: 5 seconds, start sync
2019-04-16 16:50:31 5seconds_sync.py [line:239] WARNING [instance: 4]: 5 seconds, start sync
2019-04-16 16:50:31 5seconds_sync.py [line:239] WARNING [instance: 0]: 5 seconds, start sync
